ID,Title,Type,Summary,AwardName,UCASCode,UCASPoint,Year,Attandance,Length,Foundation,Subject,Recruiting,IMGName,IMGAlt
1,Computing,Undergraduate,"Learn how to code, configure and integrate applications, databases and systems architectures which form the pillars of modern technology in today&rsquo;s world.",BSc (Honours),G504,112,2022/23,Full-time,3 / 4 Years,No,Computing,No,img/computing.webp,"Women on computer, with laptop on her left"
2,Computer Networks,Undergraduate,"This course includes general computing skills in programming, cyber security, information systems, management and professionalism in a technical environment.",BSc (Honours),G420,112,2022/23,Full-time,3 / 4 Years,No,Computing,No,img/computer-network.webp,Cable going into back of the machine
3,Cyber Security with Forensics,Undergraduate,"Prepare for a career in cyber security by designing security systems, identifying evidence of cybercrimes and acting as detectives in a digital world.",BSc (Honours),F4G4,112,2022/23,Full-time,3 / 4 Years,No,Computing,No,img/cyber-security.webp,"Locked mobile, earphone next to it"
4,Computer Science for Games,Undergraduate,Create the software powering the next generation of blockbuster games.,BSc (Honours),G611,112,2022/23,Full-time,3 / 4 Years,No,Computing,No,img/computer-games.webp,Gamepad placed on table front of computer
5,Software Engineering,Undergraduate,Gain experience in the whole software development process and prepare for a career in software engineering.,BEng (Honours),G600,112,2022/23,Full-time,3 / 4 Years,No,Computing,No,img/computing.webp,Code on laptop screen in dark room
6,Computer Science,Undergraduate,"Gain a solid foundation in the core areas of computer science, including programming, algorithms, data structures and software development.",BSc (Honours),G400,112,2022/23,Full-time,3 / 4 Years,No,Computing,No,img/computer-science.webp,Motherboard
7,Computing with Foundation Year,Undergraduate,Gain a degree in computing&nbsp;&ndash; with an initial foundation year to prepare for the course.,BSc (Honours),A020,80,2022/23,Full-time,4 / 5 Years,Yes,Computing,Yes,img/computing.webp,"Women on computer, with laptop on her left"
8,Cyber Security with Forensics with Foundation Year,Undergraduate,"Gain a degree in cyber security with forensics, with an initial foundation year to prepare for the course.",BSc (Honours),A023,80,2022/23,Full-time,4 / 5 Years,Yes,Computing,Yes,img/cyber-security.webp,"Locked mobile, earphone next to it"
9,Software Engineering with Foundation Year,Undergraduate,"Gain a degree in software engineering, with an initial foundation year to prepare for the course.",BEng (Honours),A017,80,2022/23,Full-time,4 / 5 Years,Yes,Computing,Yes,img/computing.webp,Code on laptop screen in dark room
10,Cyber Security with Foundation Year,Undergraduate,Gain a degree in cyber security &ndash; with an initial foundation year to prepare for the course.,BSc (Honours),A093,80,2022/23,Full-time,4 / 5 Years,Yes,Computing,Yes,img/cyber-security.webp,"Locked mobile, earphone next to it"
11,Information Technology with Business Studies with Foundation Year,Undergraduate,"Gain a degree in information technology with business studies, with an initial foundation year to prepare for the course.",BSc (Honours),A019,80,2022/23,Full-time,4 / 5 Years,Yes,Computing,Yes,img/business-digital.webp,"Man holding pencil, explaining the paper on table"
12,Computer Science with Foundation Year,Undergraduate,"Gain a degree in computer science, with an initial foundation year to prepare for the course.",BSc (Honours),A022,80,2022/23,Full-time,4 / 5 Years,Yes,Computing,Yes,img/computer-science.webp,Motherboard
13,Computer Science for Games with Foundation Year,Undergraduate,"Gain a degree in computer science for games, with an initial foundation year to prepare for the course.",BSc (Honours),A092,80,2022/23,Full-time,4 / 5 Years,Yes,Computing,Yes,img/computer-games.webp,Gamepad placed on table front of computer
14,Business and Digital Technology with Foundation Year,Undergraduate,Gain a degree in business and digital communications technology &ndash; with an initial foundation year to prepare for the course.,BSc (Honours),A018,80,2022/23,Full-time,4 / 5 Years,Yes,Computing,Yes,img/business-digital.webp,"Man holding pencil, explaining the paper on table"
15,Computing,Postgraduate,A course enhanced by real-life project experience for non-computing graduates wanting to pursue a career in the IT industry.,MSc,NULL,NULL,2022/23,Part-time,3 Years,No,Computing,No,img/computing.webp,"Women on computer, with laptop on her left"
16,Computing and Informatics,Postgraduate,"Conduct a period of intensive, supervised study where you critically investigate and evaluate an approved topic and make an original contribution to knowledge.",MPhil,NULL,NULL,2022/23,Part-time,3 Years,No,Computing,No,img/computing.webp,"Women on computer, with laptop on her left"
17,Cyber Security,Postgraduate,"Develop your skills and academic knowledge in the growing field of cyber security through academic teaching, industry input and practical skills development.&nbsp;<strong>Currently applications for this course are only open to home students.</strong>",MSc,NULL,NULL,2022/23,Full-time,1 Year,No,Computing,No,img/cyber-security.webp,"Locked mobile, earphone next to it"